Actual,Predicted,Model,ModelFull,Residuals
5.328827157284917,5.07328017337163,RF,Random Forest,0.2555469839132867
5.721246399047171,6.175555261703598,RF,Random Forest,-0.45430886265642645
5.474955192963154,5.3616933613670135,RF,Random Forest,0.1132618315961409
5.698970004336019,5.227905766978716,RF,Random Forest,0.47106423735730285
5.552841968657781,4.932046472692522,RF,Random Forest,0.6207954959652584
4.842699026186821,4.918703203173803,RF,Random Forest,-0.0760041769869817
5.075720713938118,5.9105677312657985,RF,Random Forest,-0.8348470173276805
5.920818753952375,5.682094535909607,RF,Random Forest,0.23872421804276822
5.5951662833800615,5.708832266914084,RF,Random Forest,-0.11366598353402235
4.739928612014925,5.464830527207899,RF,Random Forest,-0.7249019151929739
4.712870379280889,4.99203557232511,RF,Random Forest,-0.2791651930442214
5.6777807052660805,5.275186742244762,RF,Random Forest,0.4025939630213182
5.125518182300533,5.223729056278263,RF,Random Forest,-0.09821087397772921
5.209005903048918,5.925627601165427,RF,Random Forest,-0.7166216981165094
4.657577319177793,6.008759830301788,RF,Random Forest,-1.3511825111239943
5.6020599913279625,5.83683448388343,RF,Random Forest,-0.23477449255546734
5.728855682050922,5.35638662966435,RF,Random Forest,0.37246905238657213
5.835647144215563,5.951384717024237,RF,Random Forest,-0.11573757280867447
5.688246138944246,5.606728628206429,RF,Random Forest,0.08151751073781721
4.848630149752539,4.66288905232451,RF,Random Forest,0.18574109742802936
5.214670164989233,4.5814691521456465,RF,Random Forest,0.6332010128435863
5.267606240177032,6.264902146434595,RF,Random Forest,-0.9972959062575635
5.096910013008056,6.302853888011917,RF,Random Forest,-1.205943875003861
5.605548319173784,5.567402719348068,RF,Random Forest,0.0381455998257163
5.0655015487564325,5.2897908106583245,RF,Random Forest,-0.2242892619018919
4.749092300299144,5.305004496257755,RF,Random Forest,-0.5559121959586113
5.180456064458132,5.1583774258351545,RF,Random Forest,0.02207863862297721
5.840717922449411,5.816956645399196,RF,Random Forest,0.023761277050215135
5.5774509799928715,5.776369398176752,RF,Random Forest,-0.19891841818388034
5.823908740944319,5.904655438330501,RF,Random Forest,-0.08074669738618212
4.454692883534176,4.729759744213912,RF,Random Forest,-0.2750668606797362
4.015472686656207,5.205807114885377,RF,Random Forest,-1.1903344282291695
4.269137007953506,4.574985467601938,RF,Random Forest,-0.3058484596484323
5.943095148663527,5.965011826935107,RF,Random Forest,-0.021916678271579393
4.573488738635425,4.587873527415849,RF,Random Forest,-0.014384788780423818
5.8297382846050425,5.608424502683814,RF,Random Forest,0.22131378192122853
4.851935912156444,5.313517188005422,RF,Random Forest,-0.4615812758489781
4.268411234813262,4.693827069294363,RF,Random Forest,-0.4254158344811012
4.821509299503434,5.365323694262049,RF,Random Forest,-0.5438143947586145
5.127469438986887,5.814743848273717,RF,Random Forest,-0.6872744092868297
4.8028597022389015,5.419264658016713,RF,Random Forest,-0.6164049557778117
5.0655015487564325,4.883496273871129,RF,Random Forest,0.18200527488530316
5.8297382846050425,5.631551564648383,RF,Random Forest,0.19818671995665937
5.79601577679892,5.556391879336555,RF,Random Forest,0.2396238974623648
5.688246138944246,6.289888442280906,RF,Random Forest,-0.6016423033366598
4.581698708680254,5.935562786679823,RF,Random Forest,-1.3538640779995683
4.34008379993015,5.307363854189971,RF,Random Forest,-0.9672800542598212
5.707743928643524,6.412366309556236,RF,Random Forest,-0.7046223809127126
5.935542010773082,5.880483288188401,RF,Random Forest,0.05505872258468081
5.161150909262744,5.830302152825401,RF,Random Forest,-0.6691512435626565
4.172630726946175,4.8352983942217085,RF,Random Forest,-0.6626676672755334
5.995678626217358,5.6893851375975455,RF,Random Forest,0.3062934886198123
5.853871964321762,6.731658879317617,RF,Random Forest,-0.8777869149958555
5.200659450546418,5.191324195297181,RF,Random Forest,0.009335255249236951
5.262200500306636,5.683234039554367,RF,Random Forest,-0.42103353924773046
5.050122295963125,5.0868396911647,RF,Random Forest,-0.03671739520157491
5.462180904926726,5.419841166579239,RF,Random Forest,0.04233973834748639
5.142667503568732,5.970046092984971,RF,Random Forest,-0.8273785894162389
5.200659450546418,5.2058825262536725,RF,Random Forest,-0.005223075707254665
5.872895201635193,6.166700724993956,RF,Random Forest,-0.2938055233587633
