MW,LogP,HBD,HBA,TPSA,nRotB,nAtoms,Aromatic_Bonds,Ring_Count
483.219235024,2.019,3,10,139.9,17,33,0,0
257.117569592,2.944999999999999,2,4,83.96000000000001,7,18,6,0
346.150369704,5.119,1,1,47.27,5,25,21,0
223.030314148,1.518,0,3,76.53999999999999,3,15,10,0
502.200490692,4.343000000000001,1,6,88.33,10,38,29,0
554.148760736,4.6199999999999974,1,7,85.95,5,38,17,0
310.96609158399997,3.4480000000000004,0,1,22,1,18,16,0
402.115046816,3.9120000000000017,1,5,94.95,7,29,21,0
308.083077992,1.4260000000000002,1,6,91.93,2,21,6,0
309.06871952399996,4.847,1,2,23.47,4,20,12,0
445.176834056,5.008,1,4,92.54999999999998,4,31,6,0
264.16264864,4.027000000000001,1,1,19.03,4,20,16,0
552.1331106719999,3.9890000000000008,1,7,93.79,5,38,17,0
385.175004216,0.05600000000000005,4,8,133.05,13,28,11,0
347.23614792800004,4.582000000000001,2,3,41.29,7,26,17,0
300.093248752,2.279,1,3,94.27,3,21,10,0
238.08546094,2.0350000000000006,1,3,77.83,2,18,17,0
585.3162487159999,3.8519999999999968,4,11,164.7,16,42,6,0
504.179103616,-1.589,6,12,220.85,17,35,10,0
507.156989792,6.409000000000001,1,3,68.02000000000001,9,37,23,0
347.974568868,3.3289999999999997,4,5,106.44,1,21,17,0
475.192962788,5.992,2,4,116.49,9,34,22,0
389.00111796400006,2.74,2,5,97.22,7,24,16,0
281.08004121199997,1.254,0,4,87.2,2,21,11,0
404.271530392,8.906000000000004,1,2,37.3,0,30,0,0
434.184171932,3.7769999999999992,2,6,95.94,9,32,12,0
387.11013572,7.440999999999999,0,1,22,8,24,16,0
468.087684704,6.369999999999999,1,5,83.11,5,34,23,0
286.22966558,7.608000000000001,1,1,20.23,1,21,6,0
332.045151196,3.689000000000001,2,4,83.83,6,23,12,0
434.104876056,2.899,2,7,150.5,8,31,18,0
433.247775232,4.601,2,6,90.98,10,32,17,0
430.2191179599999,5.019,1,3,63.4,7,31,21,0
314.118590908,3.2960000000000003,0,3,33.2,4,22,12,0
618.286070784,-5.9030000000000005,10,18,303.65000000000003,25,43,0,0
533.099041108,8.074,2,3,53.35000000000001,4,36,30,0
469.2689046,3.154000000000001,4,8,133.05,19,34,11,0
475.211647544,3.855,2,6,103.81,12,32,0,0
501.118083596,5.015999999999999,2,4,144.73,8,35,27,0
397.071700292,4.871,1,4,85.72000000000001,6,28,18,0
338.051441428,3.4560000000000004,4,5,106.44,2,24,17,0
274.050905272,2.386,1,3,51.22,3,19,12,0
495.213361796,7.604999999999999,1,3,68.02000000000001,9,36,17,0
461.288971348,5.105999999999999,3,8,113.6,18,33,6,0
188.044190384,1.982,1,1,79.28,4,11,5,0
486.078262892,6.530999999999999,1,5,83.11,5,35,23,0
298.01789089199997,1.936,0,4,71.21000000000001,3,19,11,0
565.2358902200001,2.6000000000000005,4,9,166.76,15,40,16,0
460.199170364,0.08799999999999997,3,11,159.36,14,31,0,0
379.060232284,3.5350000000000006,1,3,96.26,7,26,16,0
372.048131964,1.739,6,6,149.07,2,27,18,0
459.0049007479999,2.9080000000000004,1,6,162.44,7,29,22,0
250.110613068,3.0780000000000007,0,2,34.89,2,19,16,0
433.236541852,4.446999999999999,1,5,75.44,9,32,17,0
405.187483484,4.37,3,4,81.39999999999999,7,29,17,0
337.10625596,3.3019999999999996,1,3,109.16,4,25,11,0
289.146664228,5.366,1,2,29.1,4,22,17,0
314.178298704,5.438,1,1,19.03,4,24,21,0
313.058637072,2.564,4,6,120,3,23,17,0
470.112086676,1.1529999999999996,2,10,171.25,7,33,22,0
502.140986792,2.087,1,8,136.69,10,35,12,0
390.194342692,4.773,3,4,84.58,8,29,18,0
463.18959166,6.8039999999999985,2,4,88.25,7,35,28,0
505.2001563440001,4.753,2,7,99.6,11,38,24,0
349.098393708,2.6339999999999995,1,3,82.24000000000001,6,24,12,0
421.09437094800006,-0.04499999999999976,1,9,151.25,8,29,6,0
409.048089452,3.587,1,3,181.12,6,29,18,0
325.986112096,4.152000000000001,2,3,92.47,4,21,12,0
403.225977168,4.372,1,4,54.46,7,30,17,0
571.175309832,3.979000000000001,2,8,97.98,9,39,17,0
775.3904762760001,3.961999999999999,6,14,226.65999999999997,23,56,17,0
417.205241724,3.690000000000001,1,5,75.44,9,31,17,0
417.055004672,3.1790000000000003,1,6,109.96,6,28,16,0
420.98110586400003,2.9960000000000004,0,3,55.84,2,23,12,0
926.445738656,5.8160000000000025,8,15,230.93,15,66,22,0
732.344254356,1.7489999999999994,6,14,272.01,23,52,11,0
377.131031228,2.632,1,5,91.29,7,27,21,0
136.038510748,0.905,2,4,74.69,0,10,10,0
508.247440884,4.759,1,6,78.67999999999999,10,38,23,0
204.05349211599997,-0.386,1,5,80.47,1,15,6,0
431.101187644,-0.3239999999999999,4,11,197.65,5,30,16,0
373.167793596,5.010000000000001,1,4,59.42,4,28,18,0
452.09839162,6.261999999999999,1,5,79.2,6,33,18,0
485.0626556,5.829999999999999,2,4,70.42,4,32,24,0
386.104876056,1.2219999999999998,0,8,99.27,3,27,12,0
558.305349684,2.482,3,9,156.7,18,40,5,0
449.173941596,6.659999999999998,2,4,88.25,6,34,28,0
484.211055376,2.159,2,8,108.46999999999998,12,36,18,0
524.008836676,5.824,1,4,106.21,8,34,23,0
