molecule_chembl_id,canonical_smiles,pActivity,n_measurements,targets,assay_types,bioactivity_class
CHEMBL5410698,O=c1[nH]c(-c2ccc(F)cc2)nc2cc(O)c(O)c(O)c12,4.8941493256148565,1,CHEMBL4523582,IC50,Inactive
CHEMBL187266,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,4.950781977329818,5,CHEMBL3927;CHEMBL4523582,IC50;Ki,Inactive
CHEMBL5177686,CC(=O)OCC1Cc2c(-c3cc(C#N)ccn3)cccc2-c2c(O)ccc(-c3ccc(Br)cc3)c21,4.988852639224203,1,CHEMBL4523582,IC50,Inactive
CHEMBL5592196,Cc1ccc(NC2CNC2)cc1C(=O)N[C@H](C)c1cccc(-c2ccc(-c3cccs3)s2)c1,5.3535962737769305,1,CHEMBL4523582,IC50,Inactive
CHEMBL501849,COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCN(C)C(=O)[C@@H]4C3)cc(-c3nc(C(C)C)cs3)nc2c1C,5.259637310505756,4,CHEMBL4523582,IC50,Inactive
CHEMBL5612081,Cc1ccc(C(=O)n2c(C)nc3cc4c(cc32)OCCO4)cc1,5.127469438986887,2,CHEMBL4523582,IC50,Inactive
CHEMBL194398,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccccc1,4.346787486224656,1,CHEMBL3927,IC50,Inactive
CHEMBL154,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,5.462180904926726,1,CHEMBL4523582,IC50,Inactive
CHEMBL2333031,CCCCCCNC(=O)n1cc(C)c(=O)[nH]c1=O,5.119186407719209,1,CHEMBL4523582,IC50,Inactive
CHEMBL5286118,C=C(CC)C(=O)c1ccc(OCC(=O)NC(=O)OC(C)(C)C(N)=O)c(Cl)c1Cl,4.33913452199613,1,CHEMBL4523582,Ki,Inactive
CHEMBL2435608,CC(C)C[C@H](NC(=O)c1cc2ccccc2o1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)c1nc2ccccc2s1,4.853871964321762,1,CHEMBL3927,Ki,Inactive
CHEMBL2442064,COCCC(=O)Nc1ccc(N(C(=O)Cn2nnc3ccccc32)C(C)c2ccsc2)cc1,5.468521082957745,1,CHEMBL3927,IC50,Inactive
CHEMBL5169443,CC(C)C[C@H](NC(=O)OCC1CN(S(C)(=O)=O)C1)C(=O)N[C@H](C=O)C[C@H]1CCNC1=O,5.305394801066432,1,CHEMBL4523582,IC50,Inactive
CHEMBL5205703,CC(C)C[C@H](NC(=O)OC1CC2(C1)CN(C(=O)OC(C)(C)C)C2)C(=O)N[C@H](C=O)C[C@H]1CCNC1=O,5.481486060122113,1,CHEMBL4523582,IC50,Inactive
CHEMBL5417362,O=c1[nH]c(-c2ccccc2OC(F)(F)F)nc2cc(O)c(O)c(O)c12,5.74521031260279,1,CHEMBL4523582,IC50,Inactive
CHEMBL5189428,O=C1OCCN1C(=O)C(Cc1ccco1)Sc1nc2cc(Cl)c(Cl)cc2n1Cc1ccccc1,4.511449283499556,1,CHEMBL4523582,IC50,Inactive
CHEMBL4845924,COc1ccccc1CNC(=O)CSc1c[nH]c2c(-c3ccccc3)cccc12,5.722029781090744,2,CHEMBL4523582,IC50,Inactive
CHEMBL5171462,COc1ccc(NC(=O)C(c2cccnc2)N(C(=O)c2ccco2)c2ccc(C(C)(C)C)cc2)cc1,5.125518182300533,1,CHEMBL4523582,IC50,Inactive
CHEMBL5439502,CC1CC(=O)C2=C(C1)Nc1cc([N+](=O)[O-])ccc1N(C(=O)CCl)C2c1ccccc1,5.473660722610156,1,CHEMBL4523582,IC50,Inactive
CHEMBL5199721,C[C@H](c1cccc2ccccc12)N1Cc2ccccc2C1,5.119186407719209,1,CHEMBL4523582,IC50,Inactive
CHEMBL3233815,C[C@H](c1cccc2ccccc12)N1CCC(C(=O)NCc2cccc(F)c2)CC1,5.667679012221937,2,CHEMBL4523582,IC50,Inactive
CHEMBL301982,CC1=C(O)C(=O)C=C2C1=CC=C1[C@@]2(C)CC[C@@]2(C)[C@@H]3C[C@](C)(C(=O)O)CC[C@]3(C)CC[C@]12C,5.181956742448463,2,CHEMBL5118,IC50;Ki,Inactive
CHEMBL4848534,Cn1cc(SCC(=O)NCc2ccccc2)c2ccccc21,4.5699249444480605,1,CHEMBL4523582,IC50,Inactive
CHEMBL4852069,COc1ccccc1CN(C)C(=O)CSc1c[nH]c2ccccc12,5.11690664142431,1,CHEMBL4523582,IC50,Inactive
CHEMBL5631345,CC(C)Cn1c(C(=O)NCCCNC(=O)n2cc(F)c(=O)[nH]c2=O)cc2cc(OC(F)(F)F)ccc21,5.6020599913279625,1,CHEMBL4523582,IC50,Inactive
CHEMBL5613122,CCc1ccc(C(=O)n2c(SC)nc3ccccc32)cc1,5.7473636754076995,2,CHEMBL4523582,IC50,Inactive
CHEMBL363535,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,4.9974097437481095,6,CHEMBL3927;CHEMBL4523582,IC50;Ki,Inactive
CHEMBL5423030,O=C(OCc1cn2cc(Br)ccc2n1)c1cc(-c2ccco2)[nH]n1,5.221848749616356,1,CHEMBL4523582,IC50,Inactive
CHEMBL5558299,CC(c1nc(-c2ccc(-c3ccc(C(=O)O)s3)cc2)no1)c1cccc2ccccc12,5.7447274948966935,1,CHEMBL4523582,IC50,Inactive
CHEMBL454129,CC1(C)OC2=C(C(=O)C(=O)c3ccccc32)C1n1cc(-c2ccccc2)nn1,5.769551078621726,1,CHEMBL4523582,IC50,Inactive
CHEMBL261402,C[C@H](NC(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C)C(=O)NCC(=O)C(F)(F)F,4.3979400086720375,1,CHEMBL3927,IC50,Inactive
CHEMBL5435659,C#C[C@H](CCSC)NC(=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)[C@@H](NC(=O)C(F)(F)F)C(C)(C)C)C2(C)C,4.924453038607469,1,CHEMBL4523582,IC50,Inactive
CHEMBL5178643,CC(C)C[C@H](NC(=O)OC1CCC2(C1)CN(C(=O)OC(C)(C)C)C2)C(=O)N[C@H](C=O)C[C@H]1CCNC1=O,5.903089986991944,1,CHEMBL4523582,IC50,Inactive
CHEMBL5395044,CC1CC(=O)C2=C(C1)Nc1cc([N+](=O)[O-])ccc1N(C(=O)CCl)C2C1CCC1,5.135488918941608,1,CHEMBL4523582,IC50,Inactive
CHEMBL5402316,O=C(COC(=O)c1cc(-c2ccoc2)n[nH]1)Nc1ccc(Br)cc1,5.657577319177793,1,CHEMBL4523582,IC50,Inactive
CHEMBL5180964,C#CC[C@H](NC(=O)/C=C/c1ccccc1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,5.410665165629167,2,CHEMBL4523582,IC50,Inactive
CHEMBL5517794,Cc1ccc(-c2noc(C(C)c3cccc(-c4cccs4)c3)n2)cc1NCc1ccc(C(=O)O)s1,5.3872161432802645,1,CHEMBL4523582,IC50,Inactive
CHEMBL379642,O=C(Sc1nnc(C(F)(F)F)[nH]1)c1ccc(C#Cc2ccccc2)o1,5.522878745280337,1,CHEMBL3927,IC50,Inactive
CHEMBL5202165,CC1(C)[C@H](C(=O)OCc2c(F)cc(F)cc2F)N2C(=O)[C@@H](NC(=O)COc3ccccc3)[C@H]2S1(=O)=O,5.795880017344075,1,CHEMBL4523582,IC50,Inactive
CHEMBL5592624,Cc1ccc(NC2CNC2)cc1C(=O)N[C@H](C)c1cccc(-c2ccc(C#N)s2)c1,5.257274868695302,1,CHEMBL4523582,IC50,Inactive
CHEMBL5779998,CC(C)CNC(=O)C(c1cccnc1)N(C(=O)c1c[nH]cn1)c1ccc(C(C)(C)C)cc1,5.229147988357856,1,CHEMBL5118,IC50,Inactive
CHEMBL4854844,O=C(CSc1c[nH]c2ccccc12)NCc1ccccc1,5.166852888087215,1,CHEMBL4523582,IC50,Inactive
CHEMBL5421429,Cc1ccc(C2C3=C(CC(C)(C)CC3=O)Nc3cc([N+](=O)[O-])ccc3N2C(=O)CCl)cc1,5.404503778174425,1,CHEMBL4523582,IC50,Inactive
CHEMBL5404766,O=c1ccc(-c2cn(-c3cc(Cl)cc(Cl)c3)c(=O)n(-c3cccnc3)c2=O)c[nH]1,5.798602875679548,1,CHEMBL4523582,IC50,Inactive
CHEMBL4874639,O=C(Oc1cncc(Cl)c1)c1cccc2c1CCN2,5.667561540084395,1,CHEMBL4523582,Ki,Inactive
CHEMBL5412979,O=c1[nH]c(C2CCCCC2)nc2cc(O)c(O)c(O)c12,5.863279432843593,1,CHEMBL4523582,IC50,Inactive
CHEMBL5175380,Nc1cc(C(=O)Nc2cccc3ccccc23)cc(C(F)(F)F)c1,4.364516253185088,1,CHEMBL4523582,IC50,Inactive
CHEMBL5596345,CCCCCCCc1ccc(-n2[se]c3ccccc3c2=O)cc1,5.254962704703923,2,CHEMBL4523582,IC50,Inactive
CHEMBL5170370,CCNc1ccnc(-c2cccc3c2CC(COC(C)=O)c2c(-c4ccc(Br)cc4)ccc(O)c2-3)c1,5,1,CHEMBL4523582,IC50,Inactive
CHEMBL4863334,O=C(CSc1c[nH]c2c(Br)cccc12)NCc1ccc(Cl)c(Cl)c1,5.341988603342887,1,CHEMBL4523582,IC50,Inactive
CHEMBL5612009,CSc1nc2ccccc2n1C(=O)c1ccc(F)cc1,5.420108428052357,2,CHEMBL4523582,IC50,Inactive
CHEMBL492771,O=C(O)/C(O)=C/C(=O)c1cccc(OCc2ccc(Cl)cc2)c1,4.739535632645526,2,CHEMBL5118,IC50,Inactive
CHEMBL5188059,CC(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)c1ccc(C(C)(C)C)cc1,5.270025714300444,1,CHEMBL4523582,IC50,Inactive
CHEMBL5398507,CCC(=O)c1ccc2c(c1)N(C(=O)CSC#N)c1ccccc1S2,5.47716468633947,1,CHEMBL4523582,IC50,Inactive
CHEMBL5594527,Cc1ccc(NC2CNC2)cc1C(=O)N[C@H](C)c1cccc(-c2ccc(CNC(=O)C3CCNCC3)s2)c1,5.619788758288394,1,CHEMBL4523582,IC50,Inactive
CHEMBL5591434,O=C(CCl)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCc1ccccc1,5.0782859593941545,1,CHEMBL4523582,IC50,Inactive
CHEMBL1315054,Cc1ccc(C(=O)N/C(=C\c2ccc(-c3ccccc3[N+](=O)[O-])o2)C(=O)NCCCN(C)C)cc1,4.6930776625519295,2,CHEMBL5118,IC50;Ki,Inactive
CHEMBL5395848,CC1CC(=O)C2=C(C1)Nc1cc([N+](=O)[O-])ccc1N(C(=O)CCl)C2c1ccc(C(F)(F)F)cc1,5.480172006224281,1,CHEMBL4523582,IC50,Inactive
CHEMBL1277944,O=C(O)c1ccc(/C=C2\C(=O)N(c3ccccc3)N=C2c2ccccc2)cc1,4.7447274948966935,1,CHEMBL5118,IC50,Inactive
CHEMBL446118,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N(C)C)C(=O)Cn1[nH]c(=O)c2c([N+](=O)[O-])cccc2c1=O)C(C)OCc1ccccc1)C(C)C,4.154901959985743,1,CHEMBL4523582,IC50,Inactive
CHEMBL5505771,CC(c1noc(-c2ccc(-c3ccc(C#N)s3)cc2)n1)c1cccc2ccccc12,4.503070351926785,1,CHEMBL4523582,IC50,Inactive
CHEMBL5397992,CC(C)(C)OC(=O)CC[C@H](NC(=O)CNC(=O)OC(C)(C)C)C(=O)CCl,5.7594507517174005,2,CHEMBL4523582,IC50,Inactive
CHEMBL5407708,CC(C)(C)c1nc2cc(O)c(O)c(O)c2c(=O)[nH]1,5.388701637703571,1,CHEMBL4523582,IC50,Inactive
CHEMBL5632001,C=C(Br)C(=O)N(c1ccc(-c2ccccc2)cc1)C(C(=O)N[C@@H](C)c1ccccc1)c1cccnc1,5.370590400897281,1,CHEMBL4523582,IC50,Inactive
CHEMBL215254,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)CO,4.665546248849069,5,CHEMBL3927,IC50;Ki,Inactive
CHEMBL4864930,Cn1cc(SCC(=O)N(Cc2ccccc2)Cc2ccccc2)c2ccccc21,4.910094888560602,1,CHEMBL4523582,IC50,Inactive
