MW,LogP,HBD,HBA,TPSA,nRotB,nAtoms,Aromatic_Bonds,Ring_Count
305.08341234,2.5500000000000007,2,3,114.10000000000001,6,21,11,NA
554.271604944,3.8009999999999984,4,9,133.47,16,39,6,NA
516.194359756,2.366,2,8,137.46,12,37,21,NA
487.10243353199996,4.802,2,4,144.73,8,34,27,NA
469.081595072,0.005999999999999672,4,10,216.99999999999997,6,32,16,NA
383.27840666400004,3.7939999999999996,3,7,104.37,16,27,0,NA
504.194359756,2.5770000000000004,2,8,137.46,11,36,21,NA
490.12100029600003,2.3330000000000006,1,8,127.46000000000001,9,34,12,NA
289.000585272,3.3520000000000003,0,1,22,1,17,16,NA
518.100384932,5.279999999999999,0,5,144.7,9,34,16,NA
323.01313985999997,3.225,3,5,132.94,5,21,11,NA
339.129299912,4.199,2,3,71.94,5,24,17,NA
459.15921804799996,4.739,3,4,81.39999999999999,8,32,17,NA
455.13036253200005,5.054,2,4,116.49,7,33,27,NA
364.063011244,3.695000000000001,1,3,137.98,5,26,18,NA
286.04773804,3.423,4,5,111.13000000000001,1,21,17,NA
542.21000982,2.7420000000000004,2,8,137.46,12,39,21,NA
614.292734312,2.9560000000000004,3,11,143.14,20,43,6,NA
293.04548554400003,2.724,0,2,57.650000000000006,5,20,12,NA
605.2292841799999,-9.307,11,20,346.74,24,42,0,NA
482.208468532,4.041000000000001,4,6,103.09,14,34,16,NA
511.094388012,0.3869999999999997,4,10,242.29999999999995,9,34,16,NA
227.00524227199998,1.3579999999999999,1,3,87.53999999999999,2,15,10,NA
585.262104968,2.4520000000000004,4,11,183.82999999999998,18,41,11,NA
338.05144142800003,3.4559999999999995,4,5,106.44000000000001,2,24,17,NA
475.19296278800005,5.992,2,4,116.49000000000001,9,34,22,NA
397.200156344,1.9210000000000007,3,7,104.37,12,29,6,NA
495.1940254080001,2.0820000000000003,4,8,161.29000000000002,12,35,15,NA
509.192878044,2.5050000000000003,3,10,139.89999999999998,16,35,6,NA
396.09912198,0.4619999999999997,1,8,127.46000000000001,7,27,6,NA
259.077933036,2.8000000000000003,2,3,95.64,5,18,11,NA
365.093104432,3.9740000000000006,1,3,68.02000000000001,6,26,17,NA
404.20999275599996,5.43,2,5,67.43,9,30,17,NA
393.11317118,5.195000000000001,1,4,59.42,4,28,18,NA
627.218525904,2.828,3,11,212.93,20,43,16,NA
168.999762968,1.8339999999999999,1,1,61.099999999999994,0,11,10,NA
346.25079494799996,9.442000000000002,2,3,57.53,14,25,6,NA
412.061957112,4.734,1,4,53.290000000000006,4,28,18,NA
471.129116644,3.9890000000000003,3,7,174.65999999999997,8,35,26,NA
420.98110586399997,2.9960000000000004,0,3,55.84,2,23,12,NA
510.12254598799996,4.6770000000000005,1,6,85.67,12,35,18,NA
239.12699140399997,2.7839999999999994,2,4,83.96000000000001,7,17,6,NA
473.170845352,1.7730000000000006,3,8,152.21999999999997,11,32,5,NA
635.33189878,5.0189999999999975,4,11,164.7,17,46,12,NA
381.15109797599996,3.4570000000000003,1,4,93.32000000000001,7,27,16,NA
305.04702683200003,2.626,4,6,153.17000000000002,5,21,11,NA
420.15728848799995,6.1770000000000005,3,4,100.13,3,31,17,NA
373.167793596,5.037,1,4,59.42,5,28,18,NA
331.06113560800003,3.4200000000000004,3,5,86.63,6,23,12,NA
431.161183992,4.402,1,4,92.54999999999998,4,30,6,NA
445.176834056,5.008,1,4,92.54999999999998,4,31,6,NA
363.098583736,2.4600000000000004,1,4,92.54999999999998,3,25,6,NA
392.128468624,3.065,2,4,89.00999999999999,5,29,22,NA
337.10625596,3.3019999999999996,1,3,109.16,4,25,11,NA
488.125336728,2.3260000000000005,1,8,136.69,10,34,12,NA
413.10117058000003,4.986999999999999,1,5,113.11,5,31,18,NA
313.97642000400003,3.77,0,2,112.6,3,20,12,NA
359.13288845600005,3.850000000000001,2,4,67.79,6,27,18,NA
648.313469756,5.066000000000001,3,10,133.91,22,46,12,NA
397.142641468,4.994,1,4,76.72000000000001,4,30,21,NA
334.07759868799997,4.066000000000001,0,2,72.24000000000001,3,24,22,NA
524.1045848159999,3.148,4,8,219.79999999999998,12,38,18,NA
311.04162778,2.9979999999999998,0,3,65.62,2,22,16,NA
667.275252004,0.5150000000000001,3,15,209.57,27,47,6,NA
525.101166348,5.577000000000001,3,6,126.26,8,34,17,NA
212.97481914,2.963,1,2,33.120000000000005,0,13,11,NA
551.978914308,3.9619999999999993,1,6,93.78,7,32,17,NA
468.087684704,6.369999999999999,1,5,83.11,5,34,23,NA
236.094963004,2.8420000000000005,0,2,34.89,2,18,16,NA
