molecule_chembl_id,pIC50,bioactivity_class,MW,LogP,HBD,HBA,TPSA,nRotB,nAtoms
CHEMBL2442069,4.585026652029182,Inactive,557.184523344,3.0290000000000004,2,8,163.49,12,40
CHEMBL1082715,4.580044251510242,Inactive,394.073575928,3.6100000000000008,1,3,147.20999999999998,6,28
CHEMBL2311695,4.55129368009492,Inactive,419.220891788,4.035,1,5,75.44,9,31
CHEMBL208584,4.521439352535898,Inactive,337.06517543200005,3.113999999999999,2,5,100.41,7,22
CHEMBL378342,4.494850021680094,Inactive,588.177766224,5.625,2,12,175.26999999999998,17,41
CHEMBL1083123,4.453457336521869,Inactive,364.063011244,3.695000000000001,1,3,137.98,5,26
CHEMBL2311700,4.4089353929735005,Inactive,434.23179082,3.5900000000000003,1,6,88.33,9,32
CHEMBL1448,4.3979400086720375,Inactive,325.986112096,4.152000000000001,2,3,92.47,4,21
CHEMBL258581,4.3979400086720375,Inactive,354.17664194,3.186,2,6,84.5,11,24
CHEMBL261402,4.3979400086720375,Inactive,483.219235024,2.019,3,10,139.9,17,33
CHEMBL210497,4.393969992504873,Inactive,471.067110644,1.4809999999999997,3,9,201.96999999999997,8,32
CHEMBL210612,4.393969992504873,Inactive,369.096954228,3.5290000000000012,1,4,108.42,7,25
CHEMBL2311733,4.346787486224656,Inactive,433.236541852,4.446999999999999,1,5,75.44,9,32
CHEMBL380470,4.343393738178705,Inactive,397.1096270880001,2.9460000000000006,2,5,118.87,8,28
CHEMBL2311726,4.327902142064283,Inactive,434.23179082,3.5900000000000003,1,6,88.33,9,32
CHEMBL1082334,4.301029995663981,Inactive,353.03896068399996,4.425,1,3,94.84,4,24
CHEMBL1082811,4.301029995663981,Inactive,319.077933036,3.803000000000001,1,3,94.84,4,23
CHEMBL1082812,4.301029995663981,Inactive,333.0935831,4.1610000000000005,1,3,94.84,5,24
CHEMBL1083124,4.301029995663981,Inactive,349.0884977200001,3.718000000000001,1,3,104.07,5,25
CHEMBL1083286,4.301029995663981,Inactive,378.078661308,4.053,1,3,137.98,6,27
CHEMBL1083958,4.301029995663981,Inactive,347.109233164,4.598000000000001,1,3,94.84,5,25
CHEMBL1083959,4.301029995663981,Inactive,378.078661308,4.132000000000001,1,3,137.98,5,27
CHEMBL118596,4.301029995663981,Inactive,362.97562656,3.505,0,3,37.38,2,19
CHEMBL2311705,4.301029995663981,Inactive,449.213698232,4.808999999999999,1,5,90.54,9,32
CHEMBL259622,4.301029995663981,Inactive,470.275627704,6.826999999999998,2,5,75.27000000000001,18,33
CHEMBL261189,4.301029995663981,Inactive,484.291277768,7.395999999999997,2,5,75.27000000000001,19,34
CHEMBL265704,4.301029995663981,Inactive,327.104205272,-1.3490000000000002,4,8,138.59,11,22
CHEMBL327313,4.301029995663981,Inactive,333.0935831,4.24,1,3,94.84,4,24
CHEMBL210487,4.220924369789729,Inactive,462.136176184,3.550000000000001,2,7,150.5,9,33
CHEMBL196635,4.154901959985743,Inactive,558.305349684,2.482,3,9,156.7,18,40
CHEMBL148483,4.1487416512809245,Inactive,204.05349211599997,-0.386,1,5,80.47,1,15
CHEMBL2311729,4.1249387366083,Inactive,447.263425296,4.315,1,6,80.12,9,33
CHEMBL207207,4,Inactive,401.060090052,3.773000000000002,2,5,109.64,7,27
CHEMBL242011,4,Inactive,354.110338296,2.945000000000001,0,2,63.22000000000001,4,26
CHEMBL431525,4,Inactive,454.344695332,8.8,1,3,54.37,2,33
